names,GEO,expn,isoform,tissue,sex,strain
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046097,5403,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046097,2771,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046097,41,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114863.8,GSM2046098,2205,203,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000114859.7,GSM2046098,900,202,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
ENSMUST00000075076.4,GSM2046098,24,201,inguinal adipose tissue,male,C57BL/6J
